HHTYPE,ADULT,WORKER,CHILD,INCOME,AGE_INDEX
260,4,3,3.0,1.0,2.0
261,1,0,0.0,2.0,2.0
262,2,0,0.0,2.0,2.0
263,3,0,0.0,2.0,2.0
264,4,0,0.0,2.0,2.0
265,1,1,0.0,2.0,2.0
266,2,1,0.0,2.0,2.0
267,3,1,0.0,2.0,2.0
268,4,1,0.0,2.0,2.0
269,2,2,0.0,2.0,2.0
270,3,2,0.0,2.0,2.0
271,4,2,0.0,2.0,2.0
272,3,3,0.0,2.0,2.0
273,4,3,0.0,2.0,2.0
274,1,0,1.0,2.0,2.0
275,2,0,1.0,2.0,2.0
276,3,0,1.0,2.0,2.0
277,4,0,1.0,2.0,2.0
278,1,1,1.0,2.0,2.0
279,2,1,1.0,2.0,2.0
280,3,1,1.0,2.0,2.0
281,4,1,1.0,2.0,2.0
282,2,2,1.0,2.0,2.0
283,3,2,1.0,2.0,2.0
284,4,2,1.0,2.0,2.0
285,3,3,1.0,2.0,2.0
286,4,3,1.0,2.0,2.0
287,1,0,2.0,2.0,2.0
288,2,0,2.0,2.0,2.0
289,3,0,2.0,2.0,2.0
290,4,0,2.0,2.0,2.0
291,1,1,2.0,2.0,2.0
292,2,1,2.0,2.0,2.0
293,3,1,2.0,2.0,2.0
294,4,1,2.0,2.0,2.0
295,2,2,2.0,2.0,2.0
296,3,2,2.0,2.0,2.0
297,4,2,2.0,2.0,2.0
298,3,3,2.0,2.0,2.0
299,4,3,2.0,2.0,2.0
300,1,0,3.0,2.0,2.0
301,2,0,3.0,2.0,2.0
302,3,0,3.0,2.0,2.0
303,4,0,3.0,2.0,2.0
304,1,1,3.0,2.0,2.0
305,2,1,3.0,2.0,2.0
306,3,1,3.0,2.0,2.0
307,4,1,3.0,2.0,2.0
308,2,2,3.0,2.0,2.0
309,3,2,3.0,2.0,2.0
310,4,2,3.0,2.0,2.0
311,3,3,3.0,2.0,2.0
312,4,3,3.0,2.0,2.0
313,1,0,0.0,3.0,2.0
314,2,0,0.0,3.0,2.0
315,3,0,0.0,3.0,2.0
316,4,0,0.0,3.0,2.0
317,1,1,0.0,3.0,2.0
318,2,1,0.0,3.0,2.0
319,3,1,0.0,3.0,2.0
320,4,1,0.0,3.0,2.0
321,2,2,0.0,3.0,2.0
322,3,2,0.0,3.0,2.0
323,4,2,0.0,3.0,2.0
324,3,3,0.0,3.0,2.0
325,4,3,0.0,3.0,2.0
326,1,0,1.0,3.0,2.0
327,2,0,1.0,3.0,2.0
328,3,0,1.0,3.0,2.0
329,4,0,1.0,3.0,2.0
330,1,1,1.0,3.0,2.0
331,2,1,1.0,3.0,2.0
332,3,1,1.0,3.0,2.0
333,4,1,1.0,3.0,2.0
334,2,2,1.0,3.0,2.0
335,3,2,1.0,3.0,2.0
336,4,2,1.0,3.0,2.0
337,3,3,1.0,3.0,2.0
338,4,3,1.0,3.0,2.0
339,1,0,2.0,3.0,2.0
340,2,0,2.0,3.0,2.0
341,3,0,2.0,3.0,2.0
342,4,0,2.0,3.0,2.0
343,1,1,2.0,3.0,2.0
344,2,1,2.0,3.0,2.0
345,3,1,2.0,3.0,2.0
346,4,1,2.0,3.0,2.0
347,2,2,2.0,3.0,2.0
348,3,2,2.0,3.0,2.0
349,4,2,2.0,3.0,2.0
350,3,3,2.0,3.0,2.0
351,4,3,2.0,3.0,2.0
352,1,0,3.0,3.0,2.0
353,2,0,3.0,3.0,2.0
354,3,0,3.0,3.0,2.0
355,4,0,3.0,3.0,2.0
356,1,1,3.0,3.0,2.0
357,2,1,3.0,3.0,2.0
358,3,1,3.0,3.0,2.0
359,4,1,3.0,3.0,2.0
360,2,2,3.0,3.0,2.0
361,3,2,3.0,3.0,2.0
362,4,2,3.0,3.0,2.0
363,3,3,3.0,3.0,2.0
364,4,3,3.0,3.0,2.0
365,1,0,0.0,4.0,2.0
366,2,0,0.0,4.0,2.0
367,3,0,0.0,4.0,2.0
368,4,0,0.0,4.0,2.0
369,1,1,0.0,4.0,2.0
370,2,1,0.0,4.0,2.0
371,3,1,0.0,4.0,2.0
372,4,1,0.0,4.0,2.0
373,2,2,0.0,4.0,2.0
374,3,2,0.0,4.0,2.0
375,4,2,0.0,4.0,2.0
376,3,3,0.0,4.0,2.0
377,4,3,0.0,4.0,2.0
378,1,0,1.0,4.0,2.0
379,2,0,1.0,4.0,2.0
380,3,0,1.0,4.0,2.0
381,4,0,1.0,4.0,2.0
382,1,1,1.0,4.0,2.0
383,2,1,1.0,4.0,2.0
384,3,1,1.0,4.0,2.0
385,4,1,1.0,4.0,2.0
386,2,2,1.0,4.0,2.0
387,3,2,1.0,4.0,2.0
388,4,2,1.0,4.0,2.0
389,3,3,1.0,4.0,2.0
390,4,3,1.0,4.0,2.0
391,1,0,2.0,4.0,2.0
392,2,0,2.0,4.0,2.0
393,3,0,2.0,4.0,2.0
394,4,0,2.0,4.0,2.0
395,1,1,2.0,4.0,2.0
396,2,1,2.0,4.0,2.0
397,3,1,2.0,4.0,2.0
398,4,1,2.0,4.0,2.0
399,2,2,2.0,4.0,2.0
400,3,2,2.0,4.0,2.0
401,4,2,2.0,4.0,2.0
402,3,3,2.0,4.0,2.0
403,4,3,2.0,4.0,2.0
404,1,0,3.0,4.0,2.0
405,2,0,3.0,4.0,2.0
406,3,0,3.0,4.0,2.0
407,4,0,3.0,4.0,2.0
408,1,1,3.0,4.0,2.0
409,2,1,3.0,4.0,2.0
410,3,1,3.0,4.0,2.0
411,4,1,3.0,4.0,2.0
412,2,2,3.0,4.0,2.0
413,3,2,3.0,4.0,2.0
414,4,2,3.0,4.0,2.0
415,3,3,3.0,4.0,2.0
416,4,3,3.0,4.0,2.0
417,1,0,0.0,1.0,3.0
418,2,0,0.0,1.0,3.0
419,3,0,0.0,1.0,3.0
420,4,0,0.0,1.0,3.0
421,1,1,0.0,1.0,3.0
422,2,1,0.0,1.0,3.0
423,3,1,0.0,1.0,3.0
424,4,1,0.0,1.0,3.0
425,2,2,0.0,1.0,3.0
426,3,2,0.0,1.0,3.0
427,4,2,0.0,1.0,3.0
428,3,3,0.0,1.0,3.0
429,4,3,0.0,1.0,3.0
430,1,0,1.0,1.0,3.0
431,2,0,1.0,1.0,3.0
432,3,0,1.0,1.0,3.0
433,4,0,1.0,1.0,3.0
434,1,1,1.0,1.0,3.0
435,2,1,1.0,1.0,3.0
436,3,1,1.0,1.0,3.0
437,4,1,1.0,1.0,3.0
438,2,2,1.0,1.0,3.0
439,3,2,1.0,1.0,3.0
440,4,2,1.0,1.0,3.0
441,3,3,1.0,1.0,3.0
442,4,3,1.0,1.0,3.0
443,1,0,2.0,1.0,3.0
444,2,0,2.0,1.0,3.0
445,3,0,2.0,1.0,3.0
446,4,0,2.0,1.0,3.0
447,1,1,2.0,1.0,3.0
448,2,1,2.0,1.0,3.0
449,3,1,2.0,1.0,3.0
