932,0.274,5.85
933,0.274,43.82
934,0.257,46.7
935,0.382,47.17
936,0.332,46.87
937,0.433,39.95
938,0.512,50.03
939,0.463,39.34
940,0.462,27.65
941,0.422,25.98
942,0.99,0.0
943,0.99,0.0
944,0.99,0.65
945,0.83,48.91
946,0.742,45.45
947,0.826,1.87
948,0.826,0.0
949,0.826,0.0
950,0.826,0.0
951,0.824,1.15
952,0.824,0.0
953,0.824,0.0
954,0.714,43.32
955,0.672,34.89
956,0.731,40.52
957,0.658,49.89
958,0.694,38.35
959,0.696,47.64
960,0.783,22.81
961,0.788,25.15
962,0.694,31.81
963,0.681,35.04
964,0.673,25.93
965,0.74,4.65
966,0.708,41.0
967,0.666,43.13
968,0.805,29.92
969,0.691,44.53
970,0.649,46.88
971,0.518,16.38
972,0.518,33.22
973,0.419,24.44
974,0.485,40.57
975,0.612,39.65
976,0.471,37.7
977,0.633,44.22
978,0.392,31.56
979,0.664,26.65
980,0.366,6.23
981,0.349,42.57
982,0.364,15.65
983,0.342,46.9
984,0.555,37.51
985,0.555,25.59
986,0.555,31.79
987,0.555,9.71
988,0.695,16.91
989,0.695,26.17
990,0.695,3.04
991,0.695,36.33
992,0.821,20.32
993,0.821,1.25
994,0.821,40.43
995,0.821,1.55
996,0.821,15.26
997,0.821,0.0
998,0.821,22.14
999,0.821,0.0
1000,0.758,0.0
1001,0.758,0.0
1002,0.758,0.0
1003,0.758,0.0
1004,0.758,9.58
1005,0.758,13.93
1006,0.758,0.0
1007,0.758,0.0
1008,0.758,0.0
1009,0.758,0.01
1010,0.758,0.25
1011,0.758,0.0
1012,0.758,0.0
1013,0.758,0.0
1014,0.758,0.03
1015,0.758,0.02
1016,0.821,0.0
1017,0.821,0.0
1018,0.821,0.0
1019,0.821,0.02
1020,0.821,12.94
1021,0.821,0.0
1022,0.821,0.04
1023,0.821,0.0
1024,0.693,2.48
1025,0.693,16.52
1026,0.693,1.04
1027,0.693,9.75
1028,0.555,22.15
1029,0.555,28.65
1030,0.555,6.36
1031,0.555,28.51
1032,0.753,0.0
1033,0.753,1.16
1034,0.753,0.0
1035,0.753,2.9
1036,0.753,4.29
1037,0.753,5.96
1038,0.753,5.27
1039,0.753,1.03
1040,0.824,14.41
1041,0.824,4.86
1042,0.824,2.96
1043,0.824,30.96
1044,0.813,6.72
1045,0.813,15.68
1046,0.813,7.47
1047,0.813,17.94
1048,0.718,32.42
1049,0.718,33.15
1050,0.718,4.87
1051,0.718,36.87
1052,0.718,0.0
1053,0.718,0.0
1054,0.718,0.0
1055,0.718,0.0
1056,0.718,0.03
1057,0.718,0.0
1058,0.718,17.43
1059,0.718,0.0
1060,0.718,13.85
1061,0.718,23.03
1062,0.718,0.82
1063,0.718,24.57
1064,0.82,3.11
1065,0.82,24.13
1066,0.82,4.25
1067,0.82,4.15
1068,0.821,24.42
1069,0.821,17.19
1070,0.821,7.16
1071,0.821,4.78
1072,0.823,1.22
1073,0.823,1.14
1074,0.823,28.62
1075,0.823,36.29
1076,0.819,0.0
1077,0.819,0.0
1078,0.819,33.65
1079,0.819,37.4
1080,0.842,14.97
1081,0.905,9.24
1082,0.792,21.59
1083,0.894,17.39
1084,0.856,15.59
1085,0.856,18.59
1086,0.856,33.7
1087,0.856,15.32
1088,0.784,10.01
1089,0.784,0.0
1090,0.784,25.91
1091,0.784,28.87
1092,0.827,5.03
1093,0.827,1.54
1094,0.827,19.24
1095,0.827,3.33
1096,0.861,0.0
1097,0.861,32.51
1098,0.861,0.0
1099,0.861,0.0
1100,0.861,0.04
1101,0.861,2.76
1102,0.861,0.0
1103,0.861,0.0
1104,0.833,0.0
1105,0.833,0.0
1106,0.833,0.0
1107,0.833,0.01
1108,0.833,0.0
1109,0.833,0.0
1110,0.833,0.0
1111,0.833,0.0
1112,0.832,26.31
1113,0.832,15.79
1114,0.832,15.77
1115,0.832,16.48
1116,0.782,1.5
1117,0.782,24.88
1118,0.782,0.04
1119,0.782,12.32
1120,0.773,31.02
1121,0.773,22.62
1122,0.773,33.43
1123,0.773,25.75
1124,0.755,24.96
1125,0.755,25.24
1126,0.755,34.82
1127,0.755,39.23
1128,0.805,1.26
1129,0.805,0.14
1130,0.805,0.0
1131,0.805,0.29
1132,0.805,1.78
1133,0.805,0.0
1134,0.805,0.0
1135,0.805,0.32
1136,0.844,0.0
1137,0.844,1.11
1138,0.844,37.25
1139,0.844,15.71
1140,0.811,0.0
1141,0.811,34.67
1142,0.811,2.71
1143,0.811,2.19
1144,0.856,42.52
1145,0.856,32.13
1146,0.856,30.48
1147,0.856,27.89
1148,0.749,35.95
1149,0.749,32.1
1150,0.749,1.65
1151,0.749,37.68
1152,0.725,2.7
1153,0.725,8.62
1154,0.725,7.19
1155,0.725,0.17
1156,0.879,15.12
1157,0.879,17.83
1158,0.879,21.15
1159,0.879,44.28
1160,0.812,0.0
1161,0.812,0.0
1162,0.812,0.0
1163,0.812,1.02
1164,0.852,9.38
1165,0.852,0.0
1166,0.852,0.0
1167,0.852,0.0
1168,0.805,18.83
1169,0.805,28.02
1170,0.805,0.0
1171,0.805,0.0
1172,0.805,4.3
1173,0.805,0.0
1174,0.805,6.52
1175,0.805,0.0
1176,0.798,11.18
1177,0.798,3.47
