t matrices
d mo11
a matrix=mo11 sqmi 0 zcentroid sqmi
1099 all:0.29183
1100 all:0.270799
1101 all:0.247338
1102 all:0.24734
1103 all:0.268222
1104 all:0.99158
1105 all:0.250766
1106 all:0.250385
1107 all:0.251015
1108 all:0.250639
1109 all:0.24742
1110 all:0.247533
1111 all:0.247371
1112 all:0.247576
1113 all:0.989775
1114 all:0.241735
1115 all:0.241204
1116 all:0.242252
1117 all:0.241713
1118 all:0.249811
1119 all:0.269961
1120 all:0.249805
1121 all:0.269495
1122 all:0.248785
1123 all:0.247633
1124 all:0.249069
1125 all:0.247893
1126 all:0.251096
1127 all:0.250836
1128 all:0.250911
1129 all:0.250651
1130 all:0.248002
1131 all:0.247779
1132 all:0.247964
1133 all:0.248191
1134 all:0.249608
1135 all:0.249835
1136 all:0.248688
1137 all:0.248481
1138 all:0.241646
1139 all:0.242035
1140 all:0.241016
1141 all:0.241874
1142 all:0.242027
1143 all:0.24165
1144 all:0.250032
1145 all:0.269418
1146 all:0.251842
1147 all:0.266543
1148 all:0.250018
1149 all:0.261826
1150 all:0.990384
1151 all:0.250827
1152 all:0.250721
1153 all:0.250975
1154 all:0.250554
1155 all:0.249267
1156 all:0.248852
1157 all:0.248736
1158 all:0.24834
1159 all:1.008618
1160 all:0.254914
1161 all:0.253107
1162 all:0.249638
1163 all:0.248974
1164 all:0.254766
1165 all:0.250165
1166 all:0.249517
1167 all:0.250794
1168 all:0.251483
1169 all:0.251627
1170 all:0.250972
1171 all:0.320074
1172 all:0.291611
1173 all:0.271891
1174 all:0.250428
1175 all:0.293448
1176 all:0.251178
1177 all:0.249141
1178 all:0.249911
1179 all:0.106893
1180 all:0.329707
1181 all:0.248759
1182 all:0.246169
1183 all:0.99436
1184 all:0.252567
1185 all:0.252231
1186 all:0.25247
1187 all:0.255076
1188 all:0.260046
1189 all:0.252344
1190 all:0.278888
1191 all:0.814371
1192 all:0.999442
1193 all:0.249884
1194 all:0.249784
1195 all:0.250161
1196 all:0.250241
1197 all:0.835662
1198 all:0.250443
1199 all:0.252222
1200 all:0.251703
1201 all:0.249922
1202 all:0.250737
1203 all:0.251235
1204 all:0.251708
1205 all:0.25225
1206 all:0.254365
1207 all:0.25495
1208 all:0.254382
1209 all:0.253809
1210 all:0.253028
1211 all:0.253366
1212 all:0.253292
1213 all:0.252933
1214 all:0.253691
1215 all:0.253885
1216 all:0.254081
1217 all:0.8724
1218 all:1.000715
1219 all:0.248034
1220 all:0.248187
1221 all:0.249688
1222 all:0.249523
1223 all:1.014556
1224 all:1.021182
1225 all:0.255652
1226 all:0.254191
1227 all:0.254955
1228 all:0.254877
1229 all:0.872857
1230 all:0.261762
1231 all:0.253619
1232 all:0.252864
1233 all:0.253584
1234 all:0.251318
1235 all:0.263684
1236 all:0.251321
1237 all:0.261735
1238 all:0.261608
1239 all:0.25188
1240 all:0.251909
1241 all:0.259818
1242 all:0.253943
1243 all:0.253927
1244 all:0.262017
1245 all:0.262676
1246 all:0.252119
1247 all:0.252135
1248 all:0.259546
1249 all:0.258041
1250 all:0.972496
1251 all:1.065345
1252 all:0.256264
1253 all:0.25563
1254 all:0.256265
1255 all:0.255616
1256 all:0.255186
1257 all:0.254251
1258 all:0.255776
1259 all:0.25483
1260 all:0.256248
1261 all:0.255429
1262 all:0.255732
1263 all:0.254891
1264 all:0.254363
1265 all:0.254452
1266 all:0.255217
1267 all:0.255133
1268 all:0.9237
1269 all:1.014242
