  inode  jnode                  timau               result
    414  23526                    .75                   .75 
    415  14185                    .78                   .78 
    416  14249                    1.5                   1.5 
    417  14433                   1.35                  1.35 
    418  14246                    .75                   .75 
    419  14461                   1.32                  1.32 
    420  13874                   1.23                  1.23 
    421  13761                   1.32                  1.32 
    422  13988                   1.44                  1.44 
    423  13774                   1.23                  1.23 
    424  14115                   1.26                  1.26 
    425  14260                   1.41                  1.41 
    426  14195                   1.02                  1.02 
    427  13992                    1.5                   1.5 
    428  14447                    .72                   .72 
    429  14442                   1.32                  1.32 
    430  14437                   1.14                  1.14 
    431  14441                     .9                    .9 
    432  13886                   1.62                  1.62 
    433  14114                   1.08                  1.08 
    434  14202                    .48                   .48 
    435  13995                   1.32                  1.32 
    436  14267                   1.29                  1.29 
    437  14264                    .78                   .78 
    438  14577                    .63                   .63 
    439  14510                   1.02                  1.02 
    440  14444                   1.62                  1.62 
    441  14739                   1.44                  1.44 
    442  14699                    .93                   .93 
    443  14892                   1.35                  1.35 
    444  14741                    1.5                   1.5 
    445  14887                   1.17                  1.17 
    446  14899                   1.41                  1.41 
    447  15090                   1.23                  1.23 
    448  15172                   1.14                  1.14 
    449  15401                   1.11                  1.11 
    450  15823                    1.2                   1.2 
    451  15402                    1.2                   1.2 
    452  20813                    .87                   .87 
    453  15984                   1.02                  1.02 
    454  21965                     .9                    .9 
    455  15937                    .99                   .99 
    456  16066                   1.29                  1.29 
    457  16140                   1.11                  1.11 
    458  17269                    .96                   .96 
    459  13999                   2.25                  2.25 
    460  14276                   1.23                  1.23 
    461  14128                   1.05                  1.05 
    462  14000                    .45                   .45 
    463  14272                   2.31                  2.31 
    464  14450                   1.14                  1.14 
    465  14317                   1.23                  1.23 
    466  14275                   1.71                  1.71 
    467  14452                    1.5                   1.5 
    468  13061                    2.4                   2.4 
    469  13411                   1.35                  1.35 
    470  13412                    1.2                   1.2 
    471  13511                   1.14                  1.14 
    472  13776                    .93                   .93 
    473  13772                    1.5                   1.5 
    474  13892                   1.65                  1.65 
    475  13910                   1.26                  1.26 
    476  14007                   1.32                  1.32 
    477  13890                   1.32                  1.32 
    478  14289                   1.26                  1.26 
    479  14004                   1.11                  1.11 
    480  14283                   1.26                  1.26 
    481  14003                   1.38                  1.38 
    482  14460                   1.53                  1.53 
    483  14456                   1.56                  1.56 
    484  14290                   1.44                  1.44 
    485  14597                   1.35                  1.35 
    486  13294                   1.44                  1.44 
    487  17317                   1.17                  1.17 
    488  13072                   1.26                  1.26 
    489  16827                   1.26                  1.26 
    490  13311                    .96                   .96 
    491  13304                   1.47                  1.47 
    492  13410                   2.22                  2.22 
    493  13409                   1.17                  1.17 
    494  13735                   3.54                  3.54 
    495  13533                   1.08                  1.08 
    496  13785                   1.47                  1.47 
    497  13898                   1.47                  1.47 
    498  13781                   1.26                  1.26 
    499  13775                   1.29                  1.29 
    500  14006                   1.35                  1.35 
    501  14149                   1.65                  1.65 
    502  14459                   1.56                  1.56 
    503  13897                    1.5                   1.5 
    504  14311                     .6                    .6 
    505  14158                   1.38                  1.38 
    506  14148                   1.32                  1.32 
    507  14304                    1.5                   1.5 
    508  14612                   1.23                  1.23 
    509  14468                   1.23                  1.23 
    510  14305                   1.44                  1.44 
    511  14021                   2.76                  2.76 
    512  14028                   1.62                  1.62 
    513  13797                    .51                   .51 
    514  17393                     .9                    .9 
    515  17395                   2.31                  2.31 
    516  14467                   1.77                  1.77 
    517  14033                   2.46                  2.46 
    518  14299                   1.29                  1.29 
    519  14340                   1.38                  1.38 
    520  14157                   1.41                  1.41 
    521  14038                   1.35                  1.35 
    522  14329                   2.25                  2.25 
    523  14619                   1.17                  1.17 
    524  14905                    .99                   .99 
    525  14904                   1.38                  1.38 
    526  14599                    .87                   .87 
    527  15097                   1.59                  1.59 
    528  15409                   1.02                  1.02 
    529  15669                   1.05                  1.05 
    530  22284                   1.17                  1.17 
    531  15601                   1.05                  1.05 
    532  16069                   1.35                  1.35 
    533  15864                   1.53                  1.53 
    534  16078                   1.47                  1.47 
    535  23502                   1.35                  1.35 
    536  23506                   1.05                  1.05 
    537  16225                    .75                   .75 
    538  16226                   1.23                  1.23 
    539  14758                   1.62                  1.62 
    540  14911                   1.47                  1.47 
    541  23532                   1.35                  1.35 
    542  14753                   1.32                  1.32 
    543  15104                   1.38                  1.38 
    544  15281                    1.5                   1.5 
    545  15107                   1.89                  1.89 
    546  23535                   1.38                  1.38 
    547  15292                   2.34                  2.34 
    548  15996                   1.02                  1.02 
    549  23542                   1.14                  1.14 
    550  16163                    .99                   .99 
    551  16077                   1.38                  1.38 
    552  16228                   1.71                  1.71 
    553  23505                   1.14                  1.14 
    554  16229                   1.44                  1.44 
    555  16258                   1.05                  1.05 
    556  17571                    .57                   .57 
    557  16303                    .75                   .75 
